Separation	Type	logOdds	error	p
1	Tot	0.866	0.026	8.98e-249
2	Tot	0.228	0.037	2.60e-06
3	Tot	1.074	0.026	0.00e+00
4	Tot	0.959	0.028	1.30e-250
5	Tot	0.533	0.036	1.27e-45
6	Tot	0.528	0.038	2.81e-41
7	Tot	0.600	0.038	1.87e-52
8	Tot	0.410	0.044	1.27e-17
1	Opp	1.106	0.032	1.04e-258
2	Opp	0.274	0.051	2.79e-04
3	Opp	1.018	0.037	2.35e-162
4	Opp	1.171	0.036	6.40e-231
5	Opp	0.660	0.048	1.09e-39
6	Opp	0.529	0.053	7.38e-20
7	Opp	0.410	0.059	1.39e-08
8	Opp	0.014	0.075	2.74e+03
1	Same	0.548	0.042	4.95e-35
2	Same	0.179	0.054	2.72e+00
3	Same	1.128	0.035	3.27e-222
4	Same	0.691	0.046	1.92e-48
5	Same	0.386	0.055	7.08e-09
6	Same	0.527	0.053	1.17e-19
7	Same	0.760	0.050	2.49e-49
8	Same	0.693	0.053	4.45e-35
